timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753944608003,1155,760,1155,810,1155,710
1753944608637,1112,757,1115,708,1109,806
1753944609263,1053,712,1083,673,1023,751
1753944609881,1048,713,1039,664,1057,762
1753944610495,1077,746,1040,779,1114,713
1753944611131,1114,719,1143,759,1085,679
1753944611749,1143,774,1099,797,1187,751
1753944612353,1112,685,1159,669,1065,701
1753944612975,1043,626,1075,588,1011,664
1753944613606,1024,583,1069,563,979,603
1753944614249,1111,532,1136,575,1086,489
1753944614843,1082,501,1118,467,1046,535
1753944615484,1003,560,974,520,1032,600
1753944616094,1018,633,970,643,1066,623
1753944616691,1045,702,999,720,1091,684
1753944617309,1078,643,1121,667,1035,619
1753944617920,1119,536,1165,553,1073,519
1753944618536,1030,601,1001,561,1059,641
1753944619186,1043,572,1088,592,998,552
1753944619862,1054,557,1094,586,1014,528
1753944620501,1111,526,1134,569,1088,483
1753944668446,1022,719,977,699,1067,739
1753944669127,1029,717,1042,765,1016,669
1753944669807,1042,715,1049,764,1035,666
1753944670493,1097,787,1058,817,1136,757
1753944671156,1072,849,1026,831,1118,867
1753944671831,1031,892,995,858,1067,926
1753944672937,1076,809,1119,832,1033,786
1753944673154,1076,809,1076,859,1076,759
1753944675101,1160,587,1206,604,1114,570
1753944675258,1160,587,1160,637,1160,537
1753944675460,1152,584,1169,538,1135,630
1753944675661,1142,595,1106,562,1178,628
1753944675853,1146,576,1194,586,1098,566
1753944676045,1148,561,1197,567,1099,555
1753944676225,1150,564,1109,591,1191,537
1753944676417,1152,557,1200,570,1104,544
1753944676603,1138,566,1111,524,1165,608
1753944676782,1130,547,1176,528,1084,566
1753944676976,1126,572,1077,565,1175,579
1753944677152,1130,567,1169,598,1091,536
1753944677337,1134,552,1182,564,1086,540
1753944677525,1142,559,1110,596,1174,522
1753944677711,1144,568,1096,578,1192,558
1753944677899,1142,563,1188,545,1096,581
1753944678079,1140,558,1186,540,1094,576
1753944678253,1140,563,1090,563,1190,563
1753944678444,1140,556,1190,556,1090,556
1753944678629,1134,549,1171,517,1097,581
1753944678809,1132,540,1180,530,1084,550
1753944678994,1132,531,1182,531,1082,531
1753944679168,1134,518,1183,525,1085,511
1753944679352,1136,509,1184,519,1088,499
1753944679536,1134,502,1182,489,1086,515
1753944679724,1134,499,1184,499,1084,499
1753944679906,1134,504,1084,504,1184,504
1753944680086,1142,495,1179,528,1105,462
1753944680269,1142,490,1192,490,1092,490
1753944680454,1140,473,1189,468,1091,478
1753944680652,1142,466,1190,479,1094,453
1753944680839,1146,459,1189,483,1103,435
1753944681041,1146,450,1196,450,1096,450
1753944681231,1144,435,1193,429,1095,441
1753944681409,1146,434,1168,478,1124,390
1753944681602,1146,437,1096,437,1196,437
1753944681791,1142,430,1185,406,1099,454
1753944681973,1134,443,1092,417,1176,469
1753944682160,1134,452,1084,452,1184,452
1753944682346,1126,459,1094,422,1158,496
1753944682526,1130,460,1118,508,1142,412
1753944682708,1134,455,1173,486,1095,424
1753944682901,1132,456,1110,412,1154,500
1753944683089,1128,459,1098,419,1158,499
1753944683281,1126,464,1080,446,1172,482
